CustomerID,Road250_Flag,Total_Spend,Total_Qty,Online_Shopper,gender,HomeOwnerFlag,MaritalStatus,NumberCarsOwned,TotalChildren,Tenure,Age,age_band,Spend_Percentile,Qty_Percentile
30078,0,1.374,1,0,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
28300,0,2.29,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
28095,0,2.29,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
28781,0,2.29,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
27991,0,2.29,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
27993,0,2.29,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
28776,0,2.29,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
28093,0,2.29,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
28968,0,2.29,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
28094,0,2.29,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
28016,0,2.29,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
27992,0,2.29,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
24561,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
22568,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
22710,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
24562,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
22805,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
22660,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
26863,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
25313,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
29083,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
17649,0,3.99,1,1,0,1,M,0,0,13,35,31-40,1,1
27164,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
23604,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
20942,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
29153,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
24553,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
26911,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
20948,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
19516,0,3.99,1,1,0,1,M,4,3,10,54,81+,1,1
29131,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
27806,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
20178,0,3.99,1,1,1,1,M,3,0,13,42,41-50,1,1
17820,0,3.99,1,1,0,1,S,1,1,11,58,81+,1,1
26901,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
24108,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
24129,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
20961,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
19481,0,3.99,1,1,0,1,M,0,1,11,49,41-50,1,1
27730,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
23611,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
29061,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
23634,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
23953,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
24535,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
27165,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
27927,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
27929,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
24150,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
23912,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
25753,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
17819,0,3.99,1,1,0,1,S,2,2,10,62,61-70,1,1
17818,0,3.99,1,1,0,1,M,1,1,11,44,41-50,1,1
25544,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
23916,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
20146,0,3.99,1,1,1,1,M,0,4,11,44,41-50,1,1
23623,0,3.99,1,1,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1
20141,0,3.99,1,1,1,0,M,3,0,11,40,31-40,1,1
